"","N","Co","time","unit","secs"
"1",10,0.1,0.00500011444091797,"secs",0.00500011444091797
"2",20,0.1,0.0540030002593994,"secs",0.0540030002593994
"3",30,0.1,0.173257827758789,"secs",0.173257827758789
"4",40,0.1,0.404502868652344,"secs",0.404502868652344
"5",50,0.1,0.816434144973755,"secs",0.816434144973755
"6",60,0.1,1.43211388587952,"secs",1.43211388587952
"7",70,0.1,2.33239817619324,"secs",2.33239817619324
"8",80,0.1,3.54451084136963,"secs",3.54451084136963
"9",90,0.1,5.12559795379639,"secs",5.12559795379639
"10",100,0.1,6.92562413215637,"secs",6.92562413215637
"11",110,0.1,10.3010678291321,"secs",10.3010678291321
"12",120,0.1,13.4539248943329,"secs",13.4539248943329
"13",130,0.1,16.0407428741455,"secs",16.0407428741455
"14",140,0.1,20.1390070915222,"secs",20.1390070915222
"15",150,0.1,23.9423770904541,"secs",23.9423770904541
"16",160,0.1,28.742506980896,"secs",28.742506980896
"17",170,0.1,37.5580480098724,"secs",37.5580480098724
"18",180,0.1,42.9446160793304,"secs",42.9446160793304
"19",190,0.1,47.508721113205,"secs",47.508721113205
"20",200,0.1,55.4451689720154,"secs",55.4451689720154
"21",210,0.1,1.07091131607691,"mins",64.2546789646149
"22",220,0.1,1.23790421883265,"mins",74.2742531299591
"23",230,0.1,1.40783063173294,"mins",84.4698379039764
"24",240,0.1,1.59259120225906,"mins",95.5554721355438
"25",250,0.1,1.80698684851329,"mins",108.419210910797
"26",260,0.1,2.01923231681188,"mins",121.153939008713
"27",270,0.1,2.35619486570358,"mins",141.371691942215
"28",280,0.1,2.67867963314056,"mins",160.720777988434
"29",290,0.1,2.96706778208415,"mins",178.024066925049
"30",300,0.1,3.28546208143234,"mins",197.127724885941
"31",10,0.2,0.00499820709228516,"secs",0.00499820709228516
"32",20,0.2,0.0505130290985107,"secs",0.0505130290985107
"33",30,0.2,0.186021089553833,"secs",0.186021089553833
"34",40,0.2,0.46558690071106,"secs",0.46558690071106
"35",50,0.2,0.916110992431641,"secs",0.916110992431641
"36",60,0.2,1.48518681526184,"secs",1.48518681526184
"37",70,0.2,2.46731400489807,"secs",2.46731400489807
"38",80,0.2,3.7960889339447,"secs",3.7960889339447
"39",90,0.2,5.66709399223328,"secs",5.66709399223328
"40",100,0.2,8.55324292182922,"secs",8.55324292182922
"41",110,0.2,10.0658090114594,"secs",10.0658090114594
"42",120,0.2,12.6597621440887,"secs",12.6597621440887
"43",130,0.2,15.8402888774872,"secs",15.8402888774872
"44",140,0.2,19.4568948745728,"secs",19.4568948745728
"45",150,0.2,24.3679161071777,"secs",24.3679161071777
"46",160,0.2,29.6367130279541,"secs",29.6367130279541
"47",170,0.2,35.6408798694611,"secs",35.6408798694611
"48",180,0.2,42.5422611236572,"secs",42.5422611236572
"49",190,0.2,49.1910910606384,"secs",49.1910910606384
"50",200,0.2,58.1071519851685,"secs",58.1071519851685
"51",210,0.2,1.12773379882177,"mins",67.664027929306
"52",220,0.2,1.29089750051498,"mins",77.453850030899
"53",230,0.2,1.47922676801682,"mins",88.7536060810089
"54",240,0.2,1.6741206963857,"mins",100.447241783142
"55",250,0.2,1.8856902996699,"mins",113.141417980194
"56",260,0.2,2.1239253004392,"mins",127.435518026352
"57",270,0.2,2.33334316412608,"mins",140.000589847565
"58",280,0.2,2.63684984842936,"mins",158.210990905762
"59",290,0.2,2.89784873326619,"mins",173.870923995972
"60",300,0.2,3.22905294895172,"mins",193.743176937103
"61",10,0.3,0.00499892234802246,"secs",0.00499892234802246
"62",20,0.3,0.0525069236755371,"secs",0.0525069236755371
"63",30,0.3,0.168519973754883,"secs",0.168519973754883
"64",40,0.3,0.411051988601685,"secs",0.411051988601685
"65",50,0.3,0.83310604095459,"secs",0.83310604095459
"66",60,0.3,1.46518898010254,"secs",1.46518898010254
"67",70,0.3,2.32529497146606,"secs",2.32529497146606
"68",80,0.3,3.57815003395081,"secs",3.57815003395081
"69",90,0.3,5.04921507835388,"secs",5.04921507835388
"70",100,0.3,7.04430389404297,"secs",7.04430389404297
"71",110,0.3,9.21672487258911,"secs",9.21672487258911
"72",120,0.3,12.2929050922394,"secs",12.2929050922394
"73",130,0.3,15.5049729347229,"secs",15.5049729347229
"74",140,0.3,19.2421438694,"secs",19.2421438694
"75",150,0.3,24.1082439422607,"secs",24.1082439422607
"76",160,0.3,29.5061511993408,"secs",29.5061511993408
"77",170,0.3,35.6862769126892,"secs",35.6862769126892
"78",180,0.3,41.4977970123291,"secs",41.4977970123291
"79",190,0.3,49.1042261123657,"secs",49.1042261123657
"80",200,0.3,57.2967629432678,"secs",57.2967629432678
"81",210,0.3,1.1114386677742,"mins",66.686320066452
"82",220,0.3,1.28210384845734,"mins",76.9262309074402
"83",230,0.3,1.46888313293457,"mins",88.1329879760742
"84",240,0.3,1.66084136565526,"mins",99.6504819393158
"85",250,0.3,1.86727259953817,"mins",112.03635597229
"86",260,0.3,2.1175873319308,"mins",127.055239915848
"87",270,0.3,2.39521868228912,"mins",143.713120937347
"88",280,0.3,2.6668402671814,"mins",160.010416030884
"89",290,0.3,2.93965495030085,"mins",176.379297018051
"90",300,0.3,3.30443571805954,"mins",198.266143083572
"91",10,0.4,0.00498819351196289,"secs",0.00498819351196289
"92",20,0.4,0.0485031604766846,"secs",0.0485031604766846
"93",30,0.4,0.178523063659668,"secs",0.178523063659668
"94",40,0.4,0.43510890007019,"secs",0.43510890007019
"95",50,0.4,0.832603931427002,"secs",0.832603931427002
"96",60,0.4,1.52119112014771,"secs",1.52119112014771
"97",70,0.4,2.36880683898926,"secs",2.36880683898926
"98",80,0.4,3.54095602035522,"secs",3.54095602035522
"99",90,0.4,5.11814999580383,"secs",5.11814999580383
"100",100,0.4,7.02639603614807,"secs",7.02639603614807
"101",110,0.4,9.41327500343323,"secs",9.41327500343323
"102",120,0.4,12.3084449768066,"secs",12.3084449768066
"103",130,0.4,15.8320231437683,"secs",15.8320231437683
"104",140,0.4,19.9869039058685,"secs",19.9869039058685
"105",150,0.4,24.418949842453,"secs",24.418949842453
"106",160,0.4,29.1354060173035,"secs",29.1354060173035
"107",170,0.4,36.3766729831696,"secs",36.3766729831696
"108",180,0.4,43.4162669181824,"secs",43.4162669181824
"109",190,0.4,49.4915001392365,"secs",49.4915001392365
"110",200,0.4,1.02527496814728,"mins",61.5164980888367
"111",210,0.4,1.16749951839447,"mins",70.0499711036682
"112",220,0.4,1.32436095078786,"mins",79.4616570472717
"113",230,0.4,1.52635263601939,"mins",91.5811581611633
"114",240,0.4,1.6854939977328,"mins",101.129639863968
"115",250,0.4,1.85206829706828,"mins",111.124097824097
"116",260,0.4,2.06751563151677,"mins",124.050937891006
"117",270,0.4,2.33641163508097,"mins",140.184698104858
"118",280,0.4,2.57993690172831,"mins",154.796214103699
"119",290,0.4,2.87207413514455,"mins",172.324448108673
"120",300,0.4,3.1731022198995,"mins",190.38613319397
"121",10,0.5,0,"secs",0
"122",20,0.5,0.0639708042144775,"secs",0.0639708042144775
"123",30,0.5,0.183310031890869,"secs",0.183310031890869
"124",40,0.5,0.428074836730957,"secs",0.428074836730957
"125",50,0.5,0.849365949630737,"secs",0.849365949630737
"126",60,0.5,1.46095204353333,"secs",1.46095204353333
"127",70,0.5,2.33336997032166,"secs",2.33336997032166
"128",80,0.5,3.53124499320984,"secs",3.53124499320984
"129",90,0.5,5.04627895355225,"secs",5.04627895355225
"130",100,0.5,7.05347490310669,"secs",7.05347490310669
"131",110,0.5,9.22014307975769,"secs",9.22014307975769
"132",120,0.5,12.0427339076996,"secs",12.0427339076996
"133",130,0.5,15.4527781009674,"secs",15.4527781009674
"134",140,0.5,19.3885509967804,"secs",19.3885509967804
"135",150,0.5,23.974004983902,"secs",23.974004983902
"136",160,0.5,29.0357129573822,"secs",29.0357129573822
"137",170,0.5,34.9201099872589,"secs",34.9201099872589
"138",180,0.5,41.3130960464478,"secs",41.3130960464478
"139",190,0.5,48.9925298690796,"secs",48.9925298690796
"140",200,0.5,57.2491669654846,"secs",57.2491669654846
"141",210,0.5,1.10210981369019,"mins",66.1265888214111
"142",220,0.5,1.27070498069127,"mins",76.2422988414764
"143",230,0.5,1.44162843624751,"mins",86.4977061748505
"144",240,0.5,1.65181878407796,"mins",99.1091270446777
"145",250,0.5,1.84868670304616,"mins",110.92120218277
"146",260,0.5,2.08559850056966,"mins",125.13591003418
"147",270,0.5,2.31818063259125,"mins",139.090837955475
"148",280,0.5,2.60135503609975,"mins",156.081302165985
"149",290,0.5,2.89014064868291,"mins",173.408438920975
"150",300,0.5,3.19352486928304,"mins",191.611492156982
"151",10,0.6,0,"secs",0
"152",20,0.6,0.0594980716705322,"secs",0.0594980716705322
"153",30,0.6,0.173695087432861,"secs",0.173695087432861
"154",40,0.6,0.435674905776978,"secs",0.435674905776978
"155",50,0.6,0.836133003234863,"secs",0.836133003234863
"156",60,0.6,1.45941114425659,"secs",1.45941114425659
"157",70,0.6,2.38033390045166,"secs",2.38033390045166
"158",80,0.6,3.56172585487366,"secs",3.56172585487366
"159",90,0.6,5.11143708229065,"secs",5.11143708229065
"160",100,0.6,7.20690989494324,"secs",7.20690989494324
"161",110,0.6,9.37191796302795,"secs",9.37191796302795
"162",120,0.6,12.171117067337,"secs",12.171117067337
"163",130,0.6,15.4199361801147,"secs",15.4199361801147
"164",140,0.6,19.4003710746765,"secs",19.4003710746765
"165",150,0.6,23.7568910121918,"secs",23.7568910121918
"166",160,0.6,28.9889569282532,"secs",28.9889569282532
"167",170,0.6,34.8124179840088,"secs",34.8124179840088
"168",180,0.6,41.8217298984528,"secs",41.8217298984528
"169",190,0.6,48.8698661327362,"secs",48.8698661327362
"170",200,0.6,57.4821708202362,"secs",57.4821708202362
"171",210,0.6,1.11589943170547,"mins",66.9539659023285
"172",220,0.6,1.28073038260142,"mins",76.8438229560852
"173",230,0.6,1.45787801345189,"mins",87.4726808071136
"174",240,0.6,1.64829835096995,"mins",98.897901058197
"175",250,0.6,1.87007162968318,"mins",112.204297780991
"176",260,0.6,2.09740204811096,"mins",125.844122886658
"177",270,0.6,2.35464269717534,"mins",141.278561830521
"178",280,0.6,2.61335777044296,"mins",156.801466226578
"179",290,0.6,2.89562853177389,"mins",173.737711906433
"180",300,0.6,3.23517678578695,"mins",194.110607147217
"181",10,0.7,0.00600004196166992,"secs",0.00600004196166992
"182",20,0.7,0.0517828464508057,"secs",0.0517828464508057
"183",30,0.7,0.177516937255859,"secs",0.177516937255859
"184",40,0.7,0.430141925811768,"secs",0.430141925811768
"185",50,0.7,0.853326082229614,"secs",0.853326082229614
"186",60,0.7,1.47106504440308,"secs",1.47106504440308
"187",70,0.7,2.46385502815247,"secs",2.46385502815247
"188",80,0.7,3.57849502563477,"secs",3.57849502563477
"189",90,0.7,5.10733890533447,"secs",5.10733890533447
"190",100,0.7,7.03319907188416,"secs",7.03319907188416
"191",110,0.7,9.38246297836304,"secs",9.38246297836304
"192",120,0.7,12.3102338314056,"secs",12.3102338314056
"193",130,0.7,15.5984439849854,"secs",15.5984439849854
"194",140,0.7,19.5348019599915,"secs",19.5348019599915
"195",150,0.7,24.1101009845734,"secs",24.1101009845734
"196",160,0.7,29.3780119419098,"secs",29.3780119419098
"197",170,0.7,35.2470638751984,"secs",35.2470638751984
"198",180,0.7,41.7379021644592,"secs",41.7379021644592
"199",190,0.7,49.3695938587189,"secs",49.3695938587189
"200",200,0.7,57.5446531772614,"secs",57.5446531772614
"201",210,0.7,1.12285646597544,"mins",67.3713879585266
"202",220,0.7,1.2828825155894,"mins",76.9729509353638
"203",230,0.7,1.50057765245438,"mins",90.0346591472626
"204",240,0.7,1.75549994707108,"mins",105.329996824265
"205",250,0.7,1.98147376775742,"mins",118.888426065445
"206",260,0.7,2.18816674947739,"mins",131.290004968643
"207",270,0.7,2.40476289987564,"mins",144.285773992538
"208",280,0.7,2.70352321863174,"mins",162.211393117905
"209",290,0.7,3.01247204939524,"mins",180.748322963715
"210",300,0.7,3.35607041517893,"mins",201.364224910736
"211",10,0.8,0.00499892234802246,"secs",0.00499892234802246
"212",20,0.8,0.0570027828216553,"secs",0.0570027828216553
"213",30,0.8,0.201011896133423,"secs",0.201011896133423
"214",40,0.8,0.534029960632324,"secs",0.534029960632324
"215",50,0.8,0.963054895401001,"secs",0.963054895401001
"216",60,0.8,1.69309687614441,"secs",1.69309687614441
"217",70,0.8,2.95810985565186,"secs",2.95810985565186
"218",80,0.8,4.08315396308899,"secs",4.08315396308899
"219",90,0.8,5.59442186355591,"secs",5.59442186355591
"220",100,0.8,7.23678302764893,"secs",7.23678302764893
"221",110,0.8,9.6324679851532,"secs",9.6324679851532
"222",120,0.8,12.9654638767242,"secs",12.9654638767242
"223",130,0.8,16.7652909755707,"secs",16.7652909755707
"224",140,0.8,20.4526498317719,"secs",20.4526498317719
"225",150,0.8,24.8831310272217,"secs",24.8831310272217
"226",160,0.8,31.2014639377594,"secs",31.2014639377594
"227",170,0.8,36.685408115387,"secs",36.685408115387
"228",180,0.8,42.9724588394165,"secs",42.9724588394165
"229",190,0.8,52.0067961215973,"secs",52.0067961215973
"230",200,0.8,1.03938753207525,"mins",62.3632519245148
"231",210,0.8,1.17025796969732,"mins",70.215478181839
"232",220,0.8,1.35193341970444,"mins",81.1160051822662
"233",230,0.8,1.54508440097173,"mins",92.7050640583038
"234",240,0.8,1.76099538405736,"mins",105.659723043442
"235",250,0.8,1.97996368408203,"mins",118.797821044922
"236",260,0.8,2.20246980190277,"mins",132.148188114166
"237",270,0.8,2.40355421702067,"mins",144.21325302124
"238",280,0.8,2.68865414857864,"mins",161.319248914719
"239",290,0.8,3.09006789922714,"mins",185.404073953629
"240",300,0.8,3.37296504974365,"mins",202.377902984619
